Date,Close,Return,LogReturn,Open,High,Low,Volume,Momentum,MovingAverage,DaySin,DayCos,MonthSin,MonthCos
2006-08-25,1295.0899658203125,-0.0007484936882400373,-0.0007487739494986201,1295.9200439453125,1298.8800048828125,1292.3900146484375,1667580000.0,28.3499755859375,1283.2925048828124,-0.9510565162951536,0.30901699437494723,-0.4999999999999997,-0.8660254037844388
2006-08-28,1301.780029296875,0.005165713311912734,0.005152416785938775,1295.0899658203125,1305.02001953125,1293.969970703125,1834920000.0,33.570068359375,1284.5485046386718,0.0,1.0,-0.4999999999999997,-0.8660254037844388
2006-08-29,1304.280029296875,0.0019204473442031578,0.0019186056427523657,1301.5699462890625,1305.02001953125,1295.2900390625,2093720000.0,18.7000732421875,1286.21650390625,0.9510565162951535,0.30901699437494745,-0.4999999999999997,-0.8660254037844388
2006-08-30,1305.3699951171875,0.0008356838990319915,0.0008353349096587734,1303.699951171875,1306.739990234375,1302.1500244140625,2060690000.0,9.93994140625,1287.614501953125,0.5877852522924732,-0.8090169943749473,-0.4999999999999997,-0.8660254037844388
2006-08-31,1303.8199462890625,-0.0011874402153588814,-0.0011881457810914624,1304.25,1306.1099853515625,1302.449951171875,1974540000.0,6.3399658203125,1288.7919982910157,-0.587785252292473,-0.8090169943749475,-0.4999999999999997,-0.8660254037844388
2006-09-01,1311.010009765625,0.00551461380616769,0.005499463994837353,1303.800048828125,1312.030029296875,1303.800048828125,1800520000.0,8.7099609375,1290.3744995117188,-0.9510565162951536,0.30901699437494723,-0.8660254037844385,-0.5000000000000004
2006-09-04,1311.010009765625,0.0,0.0,1303.800048828125,1312.030029296875,1303.800048828125,1800520000.0,13.489990234375,1292.1364990234374,0.0,1.0,-0.8660254037844385,-0.5000000000000004
2006-09-05,1313.25,0.0017085988800158436,0.0017071408854651042,1310.93994140625,1314.6700439453125,1308.8199462890625,2114480000.0,14.4300537109375,1294.225,0.9510565162951535,0.30901699437494745,-0.8660254037844385,-0.5000000000000004
2006-09-06,1300.260009765625,-0.009891483140586299,-0.00994072887125942,1313.0400390625,1313.0400390625,1299.280029296875,2329870000.0,7.27001953125,1295.9405029296875,0.5877852522924732,-0.8090169943749473,-0.8660254037844385,-0.5000000000000004
2006-09-07,1294.02001953125,-0.004799032645401269,-0.004810584977398314,1300.2099609375,1301.25,1292.1300048828125,2325850000.0,-2.0400390625,1297.0510009765626,-0.587785252292473,-0.8090169943749475,-0.8660254037844385,-0.5000000000000004
2006-09-08,1298.9200439453125,0.0037866681659510792,0.003779516785635686,1294.02001953125,1300.1400146484375,1294.02001953125,2132890000.0,3.830078125,1298.6600036621094,-0.9510565162951536,0.30901699437494723,-0.8660254037844385,-0.5000000000000004
2006-09-11,1299.5400390625,0.00047731584409493877,0.0004772019651234773,1298.8599853515625,1302.3599853515625,1290.9300537109375,2506430000.0,-2.239990234375,1300.2265075683595,0.0,1.0,-0.8660254037844385,-0.5000000000000004
2006-09-12,1313.0,0.010357480749273451,0.010304209566623772,1299.530029296875,1314.280029296875,1299.530029296875,2791580000.0,8.719970703125,1301.597509765625,0.9510565162951535,0.30901699437494745,-0.8660254037844385,-0.5000000000000004
2006-09-13,1318.0699462890625,0.00386134523157855,0.003853909373543101,1312.739990234375,1319.9200439453125,1311.1199951171875,2597220000.0,12.699951171875,1302.7295043945312,0.5877852522924732,-0.8090169943749473,-0.8660254037844385,-0.5000000000000004
2006-09-14,1316.280029296875,-0.0013579833128180008,-0.001358906207768862,1318.0,1318.0,1313.25,2351220000.0,12.4600830078125,1303.6695068359375,-0.587785252292473,-0.8090169943749475,-0.8660254037844385,-0.5000000000000004
2006-09-15,1319.6600341796875,0.0025678463606395585,0.002564555076311261,1316.280029296875,1324.6500244140625,1316.280029296875,3198030000.0,8.6500244140625,1304.5375061035156,-0.9510565162951536,0.30901699437494723,-0.8660254037844385,-0.5000000000000004
2006-09-18,1321.1800537109375,0.0011518266007009004,0.0011511637573800798,1319.8499755859375,1324.8699951171875,1318.1600341796875,2325080000.0,10.1700439453125,1305.7205078125,0.0,1.0,-0.8660254037844385,-0.5000000000000004
2006-09-19,1317.6400146484375,-0.0026794523975416373,-0.002683048555375884,1321.1700439453125,1322.0400390625,1312.1700439453125,2390850000.0,4.3900146484375,1306.6615112304687,0.9510565162951535,0.30901699437494745,-0.8660254037844385,-0.5000000000000004
2006-09-20,1325.1800537109375,0.005722381666218412,0.005706071034442844,1318.280029296875,1328.530029296875,1318.280029296875,2543070000.0,24.9200439453125,1308.271014404297,0.5877852522924732,-0.8090169943749473,-0.8660254037844385,-0.5000000000000004
2006-09-21,1318.030029296875,-0.005395511646919315,-0.005410119989902893,1324.8900146484375,1328.18994140625,1315.449951171875,2627440000.0,24.010009765625,1309.3695129394532,-0.587785252292473,-0.8090169943749475,-0.8660254037844385,-0.5000000000000004
2006-09-22,1314.780029296875,-0.002465801178850091,-0.00246884627333857,1318.030029296875,1318.030029296875,1310.93994140625,2162880000.0,15.8599853515625,1310.3540161132812,-0.9510565162951536,0.30901699437494723,-0.8660254037844385,-0.5000000000000004
2006-09-25,1326.3699951171875,0.00881513680011592,0.008776510314245868,1314.780029296875,1329.3499755859375,1311.5799560546875,2710240000.0,26.8299560546875,1311.583514404297,0.0,1.0,-0.8660254037844385,-0.5000000000000004
2006-09-26,1336.3499755859375,0.007524280936307193,0.007496114733216495,1326.3499755859375,1336.5999755859375,1325.300048828125,2673350000.0,23.3499755859375,1313.18701171875,0.9510565162951535,0.30901699437494745,-0.8660254037844385,-0.5000000000000004
