Date,Open,High,Low,Close,Volume,Day,Month,Momentum,MovingAverage,Return,LogReturn
2006-08-25,1295.9200439453125,1298.8800048828125,1292.3900146484375,1295.0899658203125,1667580000.0,Friday,August,28.3499755859375,1283.2925048828124,-0.0007484936882400373,-0.0007487739494986201
2006-08-28,1295.0899658203125,1305.02001953125,1293.969970703125,1301.780029296875,1834920000.0,Monday,August,33.570068359375,1284.5485046386718,0.005165713311912734,0.005152416785938775
2006-08-29,1301.5699462890625,1305.02001953125,1295.2900390625,1304.280029296875,2093720000.0,Tuesday,August,18.7000732421875,1286.21650390625,0.0019204473442031578,0.0019186056427523657
2006-08-30,1303.699951171875,1306.739990234375,1302.1500244140625,1305.3699951171875,2060690000.0,Wednesday,August,9.93994140625,1287.614501953125,0.0008356838990319915,0.0008353349096587734
2006-08-31,1304.25,1306.1099853515625,1302.449951171875,1303.8199462890625,1974540000.0,Thursday,August,6.3399658203125,1288.7919982910157,-0.0011874402153588814,-0.0011881457810914624
2006-09-01,1303.800048828125,1312.030029296875,1303.800048828125,1311.010009765625,1800520000.0,Friday,September,8.7099609375,1290.3744995117188,0.00551461380616769,0.005499463994837353
2006-09-04,1303.800048828125,1312.030029296875,1303.800048828125,1311.010009765625,1800520000.0,Monday,September,13.489990234375,1292.1364990234374,0.0,0.0
2006-09-05,1310.93994140625,1314.6700439453125,1308.8199462890625,1313.25,2114480000.0,Tuesday,September,14.4300537109375,1294.225,0.0017085988800158436,0.0017071408854651042
2006-09-06,1313.0400390625,1313.0400390625,1299.280029296875,1300.260009765625,2329870000.0,Wednesday,September,7.27001953125,1295.9405029296875,-0.009891483140586299,-0.00994072887125942
2006-09-07,1300.2099609375,1301.25,1292.1300048828125,1294.02001953125,2325850000.0,Thursday,September,-2.0400390625,1297.0510009765626,-0.004799032645401269,-0.004810584977398314
2006-09-08,1294.02001953125,1300.1400146484375,1294.02001953125,1298.9200439453125,2132890000.0,Friday,September,3.830078125,1298.6600036621094,0.0037866681659510792,0.003779516785635686
2006-09-11,1298.8599853515625,1302.3599853515625,1290.9300537109375,1299.5400390625,2506430000.0,Monday,September,-2.239990234375,1300.2265075683595,0.00047731584409493877,0.0004772019651234773
2006-09-12,1299.530029296875,1314.280029296875,1299.530029296875,1313.0,2791580000.0,Tuesday,September,8.719970703125,1301.597509765625,0.010357480749273451,0.010304209566623772
2006-09-13,1312.739990234375,1319.9200439453125,1311.1199951171875,1318.0699462890625,2597220000.0,Wednesday,September,12.699951171875,1302.7295043945312,0.00386134523157855,0.003853909373543101
2006-09-14,1318.0,1318.0,1313.25,1316.280029296875,2351220000.0,Thursday,September,12.4600830078125,1303.6695068359375,-0.0013579833128180008,-0.001358906207768862
2006-09-15,1316.280029296875,1324.6500244140625,1316.280029296875,1319.6600341796875,3198030000.0,Friday,September,8.6500244140625,1304.5375061035156,0.0025678463606395585,0.002564555076311261
2006-09-18,1319.8499755859375,1324.8699951171875,1318.1600341796875,1321.1800537109375,2325080000.0,Monday,September,10.1700439453125,1305.7205078125,0.0011518266007009004,0.0011511637573800798
2006-09-19,1321.1700439453125,1322.0400390625,1312.1700439453125,1317.6400146484375,2390850000.0,Tuesday,September,4.3900146484375,1306.6615112304687,-0.0026794523975416373,-0.002683048555375884
2006-09-20,1318.280029296875,1328.530029296875,1318.280029296875,1325.1800537109375,2543070000.0,Wednesday,September,24.9200439453125,1308.271014404297,0.005722381666218412,0.005706071034442844
2006-09-21,1324.8900146484375,1328.18994140625,1315.449951171875,1318.030029296875,2627440000.0,Thursday,September,24.010009765625,1309.3695129394532,-0.005395511646919315,-0.005410119989902893
2006-09-22,1318.030029296875,1318.030029296875,1310.93994140625,1314.780029296875,2162880000.0,Friday,September,15.8599853515625,1310.3540161132812,-0.002465801178850091,-0.00246884627333857
2006-09-25,1314.780029296875,1329.3499755859375,1311.5799560546875,1326.3699951171875,2710240000.0,Monday,September,26.8299560546875,1311.583514404297,0.00881513680011592,0.008776510314245868
2006-09-26,1326.3499755859375,1336.5999755859375,1325.300048828125,1336.3499755859375,2673350000.0,Tuesday,September,23.3499755859375,1313.18701171875,0.007524280936307193,0.007496114733216495
2006-09-27,1336.1199951171875,1340.0799560546875,1333.5400390625,1336.5899658203125,2749190000.0,Wednesday,September,18.52001953125,1314.7480102539062,0.00017958636491899327,0.00017957024121812985
2006-09-28,1336.56005859375,1340.280029296875,1333.75,1338.8800048828125,2397820000.0,Thursday,September,22.5999755859375,1316.5010131835938,0.0017133444968626677,0.0017118783965645722
2006-09-29,1339.1500244140625,1339.8800048828125,1335.6400146484375,1335.8499755859375,2273430000.0,Friday,September,16.18994140625,1317.7430114746094,-0.0022631074374287463,-0.002265672135253866
2006-10-02,1335.8199462890625,1338.5400390625,1330.280029296875,1331.3199462890625,2154480000.0,Monday,October,10.139892578125,1318.7585083007812,-0.00339112129330843,-0.003396884177235413
2006-10-03,1331.3199462890625,1338.31005859375,1327.0999755859375,1334.1099853515625,2682690000.0,Tuesday,October,16.469970703125,1319.8015075683593,0.0020956938790537283,0.0020935009758710986
2006-10-04,1333.81005859375,1350.199951171875,1331.47998046875,1350.199951171875,3019880000.0,Wednesday,October,25.0198974609375,1322.2985046386718,0.012060449286025232,0.01198830157743166
2006-10-05,1349.8399658203125,1353.7900390625,1347.75,1353.219970703125,2817240000.0,Thursday,October,35.18994140625,1325.2585021972657,0.002236720219570998,0.0022342224846966835
