Date,Close,Return,LogReturn
2006-08-25,1295.0899658203125,-0.0007484936882400373,-0.0007487739494986201
2006-08-28,1301.780029296875,0.005165713311912734,0.005152416785938775
2006-08-29,1304.280029296875,0.0019204473442031578,0.0019186056427523657
2006-08-30,1305.3699951171875,0.0008356838990319915,0.0008353349096587734
2006-08-31,1303.8199462890625,-0.0011874402153588814,-0.0011881457810914624
2006-09-01,1311.010009765625,0.00551461380616769,0.005499463994837353
2006-09-04,1311.010009765625,0.0,0.0
2006-09-05,1313.25,0.0017085988800158436,0.0017071408854651042
2006-09-06,1300.260009765625,-0.009891483140586299,-0.00994072887125942
2006-09-07,1294.02001953125,-0.004799032645401269,-0.004810584977398314
2006-09-08,1298.9200439453125,0.0037866681659510792,0.003779516785635686
2006-09-11,1299.5400390625,0.00047731584409493877,0.0004772019651234773
2006-09-12,1313.0,0.010357480749273451,0.010304209566623772
2006-09-13,1318.0699462890625,0.00386134523157855,0.003853909373543101
2006-09-14,1316.280029296875,-0.0013579833128180008,-0.001358906207768862
2006-09-15,1319.6600341796875,0.0025678463606395585,0.002564555076311261
2006-09-18,1321.1800537109375,0.0011518266007009004,0.0011511637573800798
2006-09-19,1317.6400146484375,-0.0026794523975416373,-0.002683048555375884
2006-09-20,1325.1800537109375,0.005722381666218412,0.005706071034442844
2006-09-21,1318.030029296875,-0.005395511646919315,-0.005410119989902893
2006-09-22,1314.780029296875,-0.002465801178850091,-0.00246884627333857
2006-09-25,1326.3699951171875,0.00881513680011592,0.008776510314245868
2006-09-26,1336.3499755859375,0.007524280936307193,0.007496114733216495
2006-09-27,1336.5899658203125,0.00017958636491899327,0.00017957024121812985
2006-09-28,1338.8800048828125,0.0017133444968626677,0.0017118783965645722
2006-09-29,1335.8499755859375,-0.0022631074374287463,-0.002265672135253866
2006-10-02,1331.3199462890625,-0.00339112129330843,-0.003396884177235413
2006-10-03,1334.1099853515625,0.0020956938790537283,0.0020935009758710986
2006-10-04,1350.199951171875,0.012060449286025232,0.01198830157743166
2006-10-05,1353.219970703125,0.002236720219570998,0.0022342224846966835
2006-10-06,1349.5899658203125,-0.0026824943182935934,-0.002686098653359275
2006-10-09,1350.6600341796875,0.0007928840510640356,0.000792569884558926
2006-10-10,1353.4200439453125,0.0020434526052304225,0.0020413675958842036
2006-10-11,1349.949951171875,-0.002563943683974057,-0.002567236216697791
2006-10-12,1362.8299560546875,0.009541098076733423,0.009495869261272884
2006-10-13,1365.6199951171875,0.002047239312655602,0.0020451465739917867
2006-10-16,1369.06005859375,0.0025190488487738527,0.002515881363474249
